Hitman 3; Stealth; PlayStation 4; 2021
Hitman 3; Stealth; PlayStation 5; 2021
Hitman 3; Stealth; Xbox One; 2021
Hitman 3; Stealth; Xbox Series; 2021
Hitman 3; Stealth; PC; 2021
Cyberpunk 2077; RPG; PlayStation 4; 2021
Cyberpunk 2077; RPG; PlayStation 5; 2021
Cyberpunk 2077; RPG; Xbox One; 2021
Cyberpunk 2077; RPG; Xbox Series; 2021
Cyberpunk 2077; RPG; PC; 2021
Resident Evil Village; Survival Horror; PlayStation 4; 2021
Resident Evil Village; Survival Horror; PlayStation 5; 2021
Resident Evil Village; Survival Horror; Xbox One; 2021
Resident Evil Village; Survival Horror; Xbox Series; 2021
Resident Evil Village; Survival Horror; PC; 2021
Assassin's Creed Valhalla; Action-Adventure; PlayStation 4; 2021
Assassin's Creed Valhalla; Action-Adventure; PlayStation 5; 2021
Assassin's Creed Valhalla; Action-Adventure; Xbox One; 2021
Assassin's Creed Valhalla; Action-Adventure; Xbox Series; 2021
Assassin's Creed Valhalla; Action-Adventure; PC; 2021
Ratchet & Clank: Rift Apart; Platformer; PlayStation 5; 2021
Returnal; Action-Adventure; PlayStation 5; 2021
Resident Evil 3 Remake; Survival Horror; PlayStation 4; 2020
Resident Evil 3 Remake; Survival Horror; Xbox One; 2020
Resident Evil 3 Remake; Survival Horror; PC; 2020
Demon's Souls; Action RPG; PlayStation 5; 2020
Ghost of Tsushima; Action-Adventure; PlayStation 4; 2020
Ghost of Tsushima; Action-Adventure; PlayStation 5; 2020
Ghost of Tsushima; Action-Adventure; PC; 2020
Marvel's Spider-Man: Miles Morales; Action-Adventure; PlayStation 4; 2020
Marvel's Spider-Man: Miles Morales; Action-Adventure; PlayStation 5; 2020
Marvel's Spider-Man: Miles Morales; Action-Adventure; PC; 2020
It Takes Two; Platformer; PlayStation 4; 2021
It Takes Two; Platformer; PlayStation 5; 2021
It Takes Two; Platformer; Xbox One; 2021
It Takes Two; Platformer; Xbox Series; 2021
It Takes Two; Platformer; PC; 2021
Deathloop; Action-Adventure; PlayStation 5; 2021
Deathloop; Action-Adventure; PC; 2021
FIFA 21; Sports; PlayStation 4; 2020
FIFA 21; Sports; PlayStation 5; 2020
FIFA 21; Sports; Xbox One; 2020
FIFA 21; Sports; Xbox Series; 2020
FIFA 21; Sports; PC; 2020
NBA 2K21; Sports; PlayStation 4; 2020
NBA 2K21; Sports; PlayStation 5; 2020
NBA 2K21; Sports; Xbox One; 2020
NBA 2K21; Sports; Xbox Series; 2020
NBA 2K21; Sports; PC; 2020
Call of Duty: Black Ops Cold War; FPS; PlayStation 4; 2020
Call of Duty: Black Ops Cold War; FPS; PlayStation 5; 2020
Call of Duty: Black Ops Cold War; FPS; Xbox One; 2020
Call of Duty: Black Ops Cold War; FPS; Xbox Series; 2020
Call of Duty: Black Ops Cold War; FPS; PC; 2020
Outriders; Action RPG; PlayStation 4; 2021
Outriders; Action RPG; PlayStation 5; 2021
Outriders; Action RPG; Xbox One; 2021
Outriders; Action RPG; Xbox Series; 2021
Outriders; Action RPG; PC; 2021
Biomutant; Action RPG; PlayStation 4; 2021
Biomutant; Action RPG; PlayStation 5; 2021
Biomutant; Action RPG; Xbox One; 2021
Biomutant; Action RPG; Xbox Series; 2021
Biomutant; Action RPG; PC; 2021
Yakuza: Like a Dragon; Action RPG; PlayStation 4; 2020
Yakuza: Like a Dragon; Action RPG; PlayStation 5; 2020
Yakuza: Like a Dragon; Action RPG; Xbox One; 2020
Yakuza: Like a Dragon; Action RPG; Xbox Series; 2020
Yakuza: Like a Dragon; Action RPG; PC; 2020
Watch Dogs: Legion; Action-Adventure; PlayStation 4; 2020
Watch Dogs: Legion; Action-Adventure; PlayStation 5; 2020
Watch Dogs: Legion; Action-Adventure; Xbox One; 2020
Watch Dogs: Legion; Action-Adventure; Xbox Series; 2020
Watch Dogs: Legion; Action-Adventure; PC; 2020
Little Nightmares II; Puzzle-Platformer; PlayStation 4; 2021
Little Nightmares II; Puzzle-Platformer; PlayStation 5; 2021
Little Nightmares II; Puzzle-Platformer; Xbox One; 2021
Little Nightmares II; Puzzle-Platformer; Xbox Series; 2021
Little Nightmares II; Puzzle-Platformer; PC; 2021
Immortals Fenyx Rising; Action-Adventure; PlayStation 4; 2020
Immortals Fenyx Rising; Action-Adventure; PlayStation 5; 2020
Immortals Fenyx Rising; Action-Adventure; Xbox One; 2020
Immortals Fenyx Rising; Action-Adventure; Xbox Series; 2020
Immortals Fenyx Rising; Action-Adventure; PC; 2020
Far Cry 6; First-Person Shooter; PlayStation 4; 2021
Far Cry 6; First-Person Shooter; PlayStation 5; 2021
Far Cry 6; First-Person Shooter; Xbox One; 2021
Far Cry 6; First-Person Shooter; Xbox Series; 2021
Far Cry 6; First-Person Shooter; PC; 2021
Scarlet Nexus; Action RPG; PlayStation 4; 2021
Scarlet Nexus; Action RPG; PlayStation 5; 2021
Scarlet Nexus; Action RPG; Xbox One; 2021
Scarlet Nexus; Action RPG; Xbox Series; 2021
Scarlet Nexus; Action RPG; PC; 2021
Bravely Default II; RPG; Nintendo Switch; 2021
Monster Hunter Rise; Action RPG; Nintendo Switch; 2021
Monster Hunter Stories 2: Wings of Ruin; RPG; Nintendo Switch; 2021
New Pokémon Snap; Simulation; Nintendo Switch; 2021
Super Mario 3D World + Bowser's Fury; Platformer; Nintendo Switch; 2021
The Legend of Zelda: Skyward Sword HD; Action-Adventure; Nintendo Switch; 2021
