Assassin's Creed Valhalla; Action-Adventure; PlayStation 4; 2021
Assassin's Creed Valhalla; Action-Adventure; PlayStation 5; 2021
Assassin's Creed Valhalla; Action-Adventure; Xbox One; 2021
Assassin's Creed Valhalla; Action-Adventure; Xbox Series; 2021
Assassin's Creed Valhalla; Action-Adventure; PC; 2021
Returnal; Action-Adventure; PlayStation 5; 2021
Demon's Souls; Action RPG; PlayStation 5; 2020
Ghost of Tsushima; Action-Adventure; PlayStation 4; 2020
Ghost of Tsushima; Action-Adventure; PlayStation 5; 2020
Ghost of Tsushima; Action-Adventure; PC; 2020
Marvel's Spider-Man: Miles Morales; Action-Adventure; PlayStation 4; 2020
Marvel's Spider-Man: Miles Morales; Action-Adventure; PlayStation 5; 2020
Marvel's Spider-Man: Miles Morales; Action-Adventure; PC; 2020
Deathloop; Action-Adventure; PlayStation 5; 2021
Deathloop; Action-Adventure; PC; 2021
Outriders; Action RPG; PlayStation 4; 2021
Outriders; Action RPG; PlayStation 5; 2021
Outriders; Action RPG; Xbox One; 2021
Outriders; Action RPG; Xbox Series; 2021
Outriders; Action RPG; PC; 2021
Biomutant; Action RPG; PlayStation 4; 2021
Biomutant; Action RPG; PlayStation 5; 2021
Biomutant; Action RPG; Xbox One; 2021
Biomutant; Action RPG; Xbox Series; 2021
Biomutant; Action RPG; PC; 2021
Yakuza: Like a Dragon; Action RPG; PlayStation 4; 2020
Yakuza: Like a Dragon; Action RPG; PlayStation 5; 2020
Yakuza: Like a Dragon; Action RPG; Xbox One; 2020
Yakuza: Like a Dragon; Action RPG; Xbox Series; 2020
Yakuza: Like a Dragon; Action RPG; PC; 2020
Watch Dogs: Legion; Action-Adventure; PlayStation 4; 2020
Watch Dogs: Legion; Action-Adventure; PlayStation 5; 2020
Watch Dogs: Legion; Action-Adventure; Xbox One; 2020
Watch Dogs: Legion; Action-Adventure; Xbox Series; 2020
Watch Dogs: Legion; Action-Adventure; PC; 2020
Immortals Fenyx Rising; Action-Adventure; PlayStation 4; 2020
Immortals Fenyx Rising; Action-Adventure; PlayStation 5; 2020
Immortals Fenyx Rising; Action-Adventure; Xbox One; 2020
Immortals Fenyx Rising; Action-Adventure; Xbox Series; 2020
Immortals Fenyx Rising; Action-Adventure; PC; 2020
Scarlet Nexus; Action RPG; PlayStation 4; 2021
Scarlet Nexus; Action RPG; PlayStation 5; 2021
Scarlet Nexus; Action RPG; Xbox One; 2021
Scarlet Nexus; Action RPG; Xbox Series; 2021
Scarlet Nexus; Action RPG; PC; 2021
Monster Hunter Rise; Action RPG; Nintendo Switch; 2021
The Legend of Zelda: Skyward Sword HD; Action-Adventure; Nintendo Switch; 2021
