Cariani Escobar; Platformer; Playstation 2; 2030
Ratchet & Clank: Rift Apart; Platformer; PlayStation 5; 2021
It Takes Two; Platformer; PlayStation 4; 2021
It Takes Two; Platformer; PlayStation 5; 2021
It Takes Two; Platformer; Xbox One; 2021
It Takes Two; Platformer; Xbox Series; 2021
It Takes Two; Platformer; PC; 2021
Little Nightmares II; Puzzle-Platformer; PlayStation 4; 2021
Little Nightmares II; Puzzle-Platformer; PlayStation 5; 2021
Little Nightmares II; Puzzle-Platformer; Xbox One; 2021
Little Nightmares II; Puzzle-Platformer; Xbox Series; 2021
Little Nightmares II; Puzzle-Platformer; PC; 2021
Super Mario 3D World + Bowser's Fury; Platformer; Nintendo Switch; 2021
